ダウンロードした時刻：2023/06/26 16:28:04,,,,,
,,,,,
,世田谷,世田谷,世田谷,世田谷,世田谷
年月日時,風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s)
,,,風向,風向,
,,品質情報,,品質情報,均質番号
2023/6/26 1:00,1,0,南,0,1
2023/6/26 2:00,1,0,南東,0,1
2023/6/26 3:00,1,0,南,0,1
2023/6/26 4:00,1,0,南,0,1
2023/6/26 5:00,1,0,南南東,0,1
2023/6/26 6:00,1,0,東北東,0,1
2023/6/26 7:00,1,0,東北東,0,1
2023/6/26 8:00,1,0,東南東,0,1
2023/6/26 9:00,1,0,南東,0,1
2023/6/26 10:00,1,0,南東,0,1
2023/6/26 11:00,1,0,南東,0,1
2023/6/26 12:00,2,0,南南東,0,1
2023/6/26 13:00,2,0,南南東,0,1
2023/6/26 14:00,2,0,南東,0,1
2023/6/26 15:00,4,0,南,0,1
2023/6/26 16:00,3,0,南,0,1
2023/6/26 17:00,3,0,南,0,1
2023/6/26 18:00,3,0,南,0,1
2023/6/26 19:00,3,0,南,0,1
2023/6/26 20:00,3,0,南南東,0,1
2023/6/26 21:00,2,0,南南東,0,1
2023/6/26 22:00,2,0,南南東,0,1
2023/6/26 23:00,2,0,南南東,0,1
2023/6/27 0:00,2,0,南南東,0,1
