ダウンロードした時刻：2023/06/26 16:28:04,,,,,
,,,,,
,世田谷,世田谷,世田谷,世田谷,世田谷
年月日時,風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s)
,,,風向,風向,
,,品質情報,,品質情報,均質番号
2023/6/26 1:00,8,0,南,0,1
2023/6/26 2:00,8,0,南,0,1
2023/6/26 3:00,8,0,西,0,1
2023/6/26 4:00,8,0,西,0,1
2023/6/26 5:00,8,0,北,0,1
2023/6/26 6:00,8,0,北,0,1
2023/6/26 7:00,8,0,東,0,1
2023/6/26 8:00,8,0,東,0,1
2023/6/26 9:00,8,0,南,0,1
2023/6/26 10:00,8,0,南,0,1
2023/6/26 11:00,8,0,西,0,1
2023/6/26 12:00,8,0,西,0,1
2023/6/26 13:00,8,0,北,0,1
2023/6/26 14:00,8,0,北,0,1
2023/6/26 15:00,8,0,東,0,1
2023/6/26 16:00,8,0,東,0,1
2023/6/26 17:00,8,0,南,0,1
2023/6/26 18:00,8,0,南,0,1
2023/6/26 19:00,8,0,西,0,1
2023/6/26 20:00,8,0,西,0,1
2023/6/26 21:00,8,0,北,0,1
2023/6/26 22:00,8,0,北,0,1
2023/6/26 23:00,8,0,東,0,1
2023/6/27 0:00,8,0,東,0,1
