時刻：2016/12/22 ,,,,,,,
,,,,,,,
,世田谷,世田谷,世田谷,世田谷,世田谷,,
年月日時,風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),,
,,,風向,風向,,,
,,品質情報,,品質情報,均質番号,,
2016/12/22 10:00,10.08333333,0,南南東,0,1,,10.87
2016/12/22 11:00,10.08333333,0,南東,0,1,,南
2016/12/22 12:00,10.08333333,0,南南東,0,1,,
2016/12/22 13:00,10.08333333,0,南東,0,1,,
2016/12/22 14:00,10.08333333,0,南東,0,1,,
2016/12/22 15:00,10.08333333,0,南東,0,1,,
2016/12/22 16:00,10.08333333,0,南南東,0,1,,
2016/12/22 17:00,10.08333333,0,東南東,0,1,,
2016/12/22 18:00,10.08333333,0,南東,0,1,,
2016/12/22 19:00,10.08333333,0,南東,0,1,,
2016/12/22 20:00,10.08333333,0,南東,0,1,,
2016/12/22 21:00,10.08333333,0,西南西,0,1,,
2016/12/22 22:00,10.08333333,0,西南西,0,1,,
2016/12/22 23:00,10.08333333,0,東南東,0,1,,
2016/12/23 0:00,10.08333333,0,西,0,1,,
2016/12/23 1:00,10.08333333,0,西南西,0,1,,
2016/12/23 2:00,10.08333333,0,西南西,0,1,,
2016/12/23 3:00,10.08333333,0,西南西,0,1,,
2016/12/23 4:00,10.08333333,0,西南西,0,1,,
2016/12/23 5:00,10.08333333,0,西南西,0,1,,
2016/12/23 6:00,10.08333333,0,西南西,0,1,,
2016/12/23 7:00,10.08333333,0,西南西,0,1,,
2016/12/23 8:00,10.08333333,0,西南西,0,1,,
2016/12/23 9:00,10.08333333,0,西南西,0,1,,
