t,ros_t,Xhat0,Xhat1,Xhat2,Xhat3,Xhat4,Xhat5,Xhat6,Xhat7,Xhat8,Xhat9,Xhat10,Xhat11,imu_X0,imu_X1,imu_X2,imu_X3,imu_X4,imu_X5,imu_X6,imu_X7,imu_X8,imu_X9,imu_X10,imu_X11,T265_X0,T265_X1,T265_X2,T265_X3,T265_X4,T265_X5,T265_X6,T265_X7,T265_X8,T265_X9,T265_X10,T265_X11,hector_X0,hector_X1,hector_X2,hector_X3,hector_X4,hector_X5,hector_X6,hector_X7,hector_X8,hector_X9,hector_X10,hector_X11,vl53_X0,vl53_X1,vl53_X2,vl53_X3,vl53_X4,vl53_X5,vl53_X6,vl53_X7,vl53_X8,vl53_X9,vl53_X10,vl53_X11,scan_X0,scan_X1,scan_X2,scan_X3,scan_X4,scan_X5,scan_X6,scan_X7,scan_X8,scan_X9,scan_X10,scan_X11,T265Y0,T265Y1,T265Y2,T265Y3,T265Y4,T265Y5,hectorY0,hectorY1,hectorY2,vl53Y0,scanY0,scanY1,scanY2,scanY3,U0,U1,U2,U3,U4,U5,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,Rev_imu,Rev_T265,Rev_hector,Rev_vl53,Rev_scan,PN_imu,PN_T265,PN_hector,PN_vl53,PN_scan,M_imu,M_T265,M_hector,M_vl53,M_scan,Phat0,Phat1,Phat2,Phat3,Phat4,Phat5,Phat6,Phat7,Phat8,Phat9,Phat10,Phat11,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,imu_R0,imu_R1,imu_R2,imu_R3,imu_R4,imu_R5,imu_R6,imu_R7,imu_R8,imu_R9,imu_R10,imu_R11,T265_R0,T265_R1,T265_R2,T265_R3,T265_R4,T265_R5,T265_R6,T265_R7,T265_R8,T265_R9,T265_R10,T265_R11,hector_R0,hector_R1,hector_R2,hector_R3,hector_R4,hector_R5,hector_R6,hector_R7,hector_R8,hector_R9,hector_R10,hector_R11,vl53_R0,vl53_R1,vl53_R2,vl53_R3,vl53_R4,vl53_R5,vl53_R6,vl53_R7,vl53_R8,vl53_R9,vl53_R10,vl53_R11,scan_R0,scan_R1,scan_R2,scan_R3,scan_R4,scan_R5,scan_R6,scan_R7,scan_R8,scan_R9,scan_R10,scan_R11
0.16275692,1.66858E+18,0.009311005,0.015395056,0.108407395,-0.00065626,0.001541825,1.569951967,-0.006406786,0.017331687,0.774813767,-0.000133487,0.000453017,-0.000288898,0,0,0,0,0,0,0,0,0,0,0,0,0.012609967,0.023647066,0.11732769,-0.008007788,0.065215239,1.542714183,0,0,0,0,0,0,-0.012630463,0.01158905,0,0,0,1.56320133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824850517,0,0,0,6.407000065,5.960000038,5.763999939,1.452000022,0,0,0,0,0,0,0,0,0.012609967,0.11732769,-0.023647066,-0.008007788,0.065215239,1.542714183,-0.012630463,0.01158905,1.56320133,0.824850517,6.407000065,5.960000038,5.763999939,1.452000022,-0.080430491,0.172790376,0.629709191,0,0,0,0.008630658,0.013918408,0.059052964,-0.000609486,0.00118379,1.57022351,-0.007799037,0.014309901,0.057662641,-0.000107738,0.000255919,-0.00013761,0,1,0,1,1,0,1,0,1,0,0,0.495896454,0,3.056333771,174.9317246,0.001472555,0.001472555,0.001552253,0.0104552,0.0104552,0.010197572,0.057205085,0.057205085,0.003837962,0.059969401,0.059969401,0.059939966,0.001766053,0.001766053,0.002139614,0.010513985,0.010513985,0.010302633,0.058434159,0.058434159,0.058896034,0.059987216,0.059987216,0.059972579,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.008860764,0.008860764,0.008860764,1.869953705,1.869953705,1,0,0,0,0,0,0,0.008860764,0.008860764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112866,0,0,0,0.001707037,0.001707037,0.001707037,0.001707037,0,0,0,0,0,0,0,0
0.180339813,1.66858E+18,0.009636579,0.017312541,0.131981669,-0.00070332,0.001926121,1.569655527,-0.007380797,0.026727981,0.794958087,-0.000164429,0.000721113,-0.000500285,0,0,0,0,0,0,0,0,0,0,0,0,0.012609967,0.023647066,0.11732769,-0.008007788,0.065215239,1.542714183,0,0,0,0,0,0,-0.012630463,0.01158905,0,0,0,1.56320133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824850517,0,0,0,6.407000065,5.960000038,5.763999939,1.452000022,0,0,0,0,0,0,0,0,0.012609967,0.11732769,-0.023647066,-0.008007788,0.065215239,1.542714183,-0.012630463,0.01158905,1.56320133,0.824850517,6.407000065,5.960000038,5.763999939,1.452000022,-0.080430491,0.172790376,0.629709191,0,0,0,0.009052762,0.016068773,0.134584359,-0.000660709,0.001556926,1.569942337,-0.009087802,0.023091366,0.795804073,-0.000133487,0.000453017,-0.000288898,0,1,0,0,0,0,1,0,0,0,0,0.195108536,0,0,0,0.00145425,0.00145425,0.0013364,0.01084505,0.01084505,0.010533579,0.064764014,0.064764014,0.013812884,0.069936041,0.069936041,0.069879052,0.001739788,0.001739788,0.001573758,0.010908315,0.010908315,0.010645717,0.067205085,0.067205085,0.013837962,0.069969401,0.069969401,0.069939966,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.008860764,0.008860764,0.008860764,1.869953705,1.869953705,1,0,0,0,0,0,0,0.008860764,0.008860764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112866,0,0,0,0.001707037,0.001707037,0.001707037,0.001707037,0,0,0,0,0,0,0,0
0.200359106,1.66858E+18,0.006296078,0.018281531,0.154217392,-0.000751003,0.002335216,1.569285934,-0.021129668,0.032422566,0.812409267,-0.00020266,0.00106994,-0.000825553,0,0,0,0,0,0,0,0,0,0,0,0,0.010492055,0.026992034,0.124674448,-0.007643004,0.06521786,1.542121959,0,0,0,0,0,0,-0.012809753,0.009483337,0,0,0,1.551125544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824850517,0,0,0,6.407000065,5.960000038,5.763999939,1.452000022,0,0,0,0,0,0,0,0,0.010492055,0.124674448,-0.026992034,-0.007643004,0.06521786,1.542121959,-0.012809753,0.009483337,1.551125544,0.824850517,6.407000065,5.960000038,5.763999939,1.452000022,-0.080430491,0.172790376,0.629709191,0,0,0,0.009345869,0.018299468,0.158830111,-0.000708801,0.001950158,1.569638851,-0.010061814,0.032487661,0.815948393,-0.000164429,0.000721113,-0.000500285,0,1,1,0,0,0,1,1,0,0,0,0.352113553,0.230994731,0,0,0.001286254,0.001286254,0.001196645,0.011380863,0.011380863,0.010978805,0.067833902,0.067833902,0.023702896,0.079878849,0.079878849,0.079749286,0.001812457,0.001812457,0.001383485,0.011450553,0.011450553,0.01113157,0.074764014,0.074764014,0.023812884,0.079936041,0.079936041,0.079879052,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.008860764,0.008860764,0.008860764,1.869953705,1.869953705,1,0,0,0,0,0,0,0.008860764,0.008860764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112866,0,0,0,0.001707037,0.001707037,0.001707037,0.001707037,0,0,0,0,0,0,0,0
0.233658314,1.66858E+18,0.006051522,0.021363093,0.175891471,-0.000799584,0.002770552,1.568936199,-0.021674481,0.046248609,0.825013963,-0.000247855,0.001501808,-0.001180662,0,0,0,0,0,0,0,0,0,0,0,0,0.008719115,0.031435999,0.136261004,-0.007231555,0.064232994,1.541501277,0,0,0,0,0,0,-0.012809753,0.009483337,0,0,0,1.551125544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824850517,0,0,0,6.407000065,5.960000038,5.763999939,1.452000022,0,0,0,0,0,0,0,0,0.008719115,0.136261004,-0.031435999,-0.007231555,0.064232994,1.541501277,-0.012809753,0.009483337,1.551125544,0.824850517,6.407000065,5.960000038,5.763999939,1.452000022,-0.080430491,0.172790376,0.629709191,0,0,0,0.005547073,0.019458278,0.181647539,-0.000757759,0.002370881,1.569258416,-0.023810684,0.038182245,0.833399574,-0.00020266,0.00106994,-0.000825553,0,1,0,0,0,0,1,0,0,0,0,0.469449874,0,0,0,0.001409126,0.001409126,0.001123751,0.012081169,0.012081169,0.011608435,0.073055334,0.073055334,0.033356491,0.089787121,0.089787121,0.089583692,0.001675595,0.001675595,0.001286968,0.012159729,0.012159729,0.011744774,0.077833902,0.077833902,0.033702896,0.089878849,0.089878849,0.089749286,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.008860764,0.008860764,0.008860764,1.869953705,1.869953705,1,0,0,0,0,0,0,0.008860764,0.008860764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112866,0,0,0,0.001707037,0.001707037,0.001707037,0.001707037,0,0,0,0,0,0,0,0
0.266937017,1.66858E+18,0.005580511,0.02495894,0.170990762,-0.000849398,0.003248939,1.56855704,-0.023013388,0.060882554,0.396782918,-0.000299465,0.00203382,-0.001611952,0,0,0,0,0,0,0,0,0,0,0,0,0.006968301,0.034135254,0.150074479,-0.006801599,0.064605672,1.541510462,0,0,0,0,0,0,-0.012809753,0.009483337,0,0,0,1.551125544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354821954,0,0,0,6.40899992,5.964000225,5.765999794,1.450999975,0,0,0,0,0,0,0,0,0.006968301,0.150074479,-0.034135254,-0.006801599,0.064605672,1.541510462,-0.012809753,0.009483337,1.551125544,0.354821954,6.40899992,5.964000225,5.765999794,1.450999975,-0.080430491,0.172790376,0.629709191,0,0,0,0.005284356,0.023000708,0.203741775,-0.000807846,0.002820612,1.568896844,-0.024355497,0.052008288,0.84600427,-0.000247855,0.001501808,-0.001180662,0,1,0,1,1,0,1,0,1,0,0,0.546631018,0,2.254426332,178.1381314,0.001558342,0.001558342,0.000973492,0.012963507,0.012963507,0.012407759,0.076225735,0.076225735,0.003750106,0.099647508,0.099647508,0.099332565,0.001890893,0.001890893,0.001272732,0.013054004,0.013054004,0.012563646,0.083055334,0.083055334,0.043356491,0.099787121,0.099787121,0.099583692,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.008860764,0.008860764,0.008860764,1.869953705,1.869953705,1,0,0,0,0,0,0,0.008860764,0.008860764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112866,0,0,0,0.001707037,0.001707037,0.001707037,0.001707037,0,0,0,0,0,0,0,0
0.300354242,1.66858E+18,0.003325799,0.024956551,0.182379301,-0.000931552,0.003764239,1.568093347,-0.032354404,0.056821038,0.416638165,-0.000399381,0.002653346,-0.002192756,0,0,0,0,0,0,0,0,0,0,0,0,0.004769165,0.035935792,0.162908274,-0.010469041,0.062901318,1.544537705,0,0,0,0,0,0,-0.00415802,0.005069733,0,0,0,1.541479502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354821954,0,0,0,6.40899992,5.964000225,5.765999794,1.450999975,0,0,0,0,0,0,0,0,0.004769165,0.162908274,-0.035935792,-0.010469041,0.062901318,1.544537705,-0.00415802,0.005069733,1.541479502,0.354821954,6.40899992,5.964000225,5.765999794,1.450999975,-0.080430491,0.172790376,0.629709191,0,0,0,0.004768714,0.027084353,0.184566698,-0.00085938,0.003316733,1.568503308,-0.025694404,0.066642233,0.417773224,-0.000299465,0.00203382,-0.001611952,0,1,1,0,0,0,1,1,0,0,0,0.239228772,0.227135184,0,0,0.001432324,0.001432324,0.000894895,0.014044167,0.014044167,0.013344429,0.071647353,0.071647353,0.013723036,0.109443824,0.109443824,0.108878219,0.002116619,0.002116619,0.000995428,0.014150443,0.014150443,0.013570797,0.086225735,0.086225735,0.013750106,0.109647508,0.109647508,0.109332565,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.008860764,0.008860764,0.008860764,1.869953705,1.869953705,1,0,0,0,0,0,0,0.008860764,0.008860764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112866,0,0,0,0.001707037,0.001707037,0.001707037,0.001707037,0,0,0,0,0,0,0,0
0.333637238,1.66858E+18,0.002178983,0.028776026,0.194598084,-0.001061808,0.004312185,1.567743124,-0.035146285,0.071156098,0.435300189,-0.000575252,0.003344392,-0.002619902,0,0,0,0,0,0,0,0,0,0,0,0,0.002071811,0.037065816,0.175644544,-0.015202217,0.059873772,1.548927242,0,0,0,0,0,0,-0.00415802,0.005069733,0,0,0,1.541479502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354821954,0,0,0,6.40899992,5.964000225,5.765999794,1.450999975,0,0,0,0,0,0,0,0,0.002071811,0.175644544,-0.037065816,-0.015202217,0.059873772,1.548927242,-0.00415802,0.005069733,1.541479502,0.354821954,6.40899992,5.964000225,5.765999794,1.450999975,-0.080430491,0.172790376,0.629709191,0,0,0,0.002202635,0.026946581,0.196617078,-0.000944865,0.003852684,1.568020255,-0.03503542,0.062580717,0.437628471,-0.000399381,0.002653346,-0.002192756,0,1,0,0,0,0,1,0,0,0,0,0.237616232,0,0,0,0.001601927,0.001601927,0.000853012,0.015337883,0.015337883,0.014514761,0.073879754,0.073879754,0.023602198,0.119156932,0.119156932,0.118370348,0.001955451,0.001955451,0.000943878,0.015464729,0.015464729,0.014728543,0.081647353,0.081647353,0.023723036,0.119443824,0.119443824,0.118878219,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.008860764,0.008860764,0.008860764,1.869953705,1.869953705,1,0,0,0,0,0,0,0.008860764,0.008860764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112866,0,0,0,0.001707037,0.001707037,0.001707037,0.001707037,0,0,0,0,0,0,0,0
0.366934538,1.66858E+18,0.000546661,0.032917401,0.194973626,-0.001244546,0.004862557,1.567416627,-0.039755847,0.084672264,0.210808401,-0.000836837,0.004046308,-0.003012341,0,0,0,0,0,0,0,0,0,0,0,0,-0.001138877,0.039696529,0.191445832,-0.019224586,0.053108727,1.552598783,0,0,0,0,0,0,-0.00415802,0.005069733,0,0,0,1.541479502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180856104,0,0,0,6.407999992,5.967000008,5.761000156,1.452000022,0,0,0,0,0,0,0,0,-0.001138877,0.191445832,-0.039696529,-0.019224586,0.053108727,1.552598783,-0.00415802,0.005069733,1.541479502,0.180856104,6.407999992,5.967000008,5.761000156,1.452000022,-0.080430491,0.172790376,0.629709191,0,0,0,0.000962757,0.03124389,0.209457929,-0.001080983,0.004423665,1.567655794,-0.037827301,0.076915777,0.456290496,-0.000575252,0.003344392,-0.002619902,0,1,0,1,1,0,1,0,1,0,0,0.203955414,0,1.418275954,176.9474094,0.001754314,0.001754314,0.000774018,0.016857488,0.016857488,0.01588414,0.074576495,0.074576495,0.003659758,0.1287647,0.1287647,0.127680077,0.002187388,0.002187388,0.000947594,0.01701084,0.01701084,0.016140518,0.083879754,0.083879754,0.033602198,0.129156932,0.129156932,0.128370348,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.008860764,0.008860764,0.008860764,1.869953705,1.869953705,1,0,0,0,0,0,0,0.008860764,0.008860764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112866,0,0,0,0.001707037,0.001707037,0.001707037,0.001707037,0,0,0,0,0,0,0,0
0.405243874,1.66858E+18,-0.001250222,0.02993779,0.202519574,-0.00145281,0.005412839,1.566961511,-0.044369939,0.06373129,0.231901317,-0.001138262,0.004740515,-0.003620995,0,0,0,0,0,0,0,0,0,0,0,0,-0.001906832,0.040751095,0.204408047,-0.019392704,0.04672988,1.55238377,0,0,0,0,0,0,-0.002182007,-0.002815247,0,0,0,1.545412758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180856104,0,0,0,6.407999992,5.967000008,5.761000156,1.452000022,0,0,0,0,0,0,0,0,-0.001906832,0.204408047,-0.040751095,-0.019392704,0.04672988,1.55238377,-0.002182007,-0.002815247,1.545412758,0.180856104,6.407999992,5.967000008,5.761000156,1.452000022,-0.080430491,0.172790376,0.629709191,0,0,0,-0.000823217,0.035835804,0.202350411,-0.001272441,0.004997434,1.567316215,-0.042436863,0.090431943,0.231798708,-0.000836837,0.004046308,-0.003012341,0,1,1,0,0,0,1,1,0,0,0,0.063300368,0.364911347,0,0,0.001549125,0.001549125,0.000728462,0.018613532,0.018613532,0.01738037,0.067506905,0.067506905,0.013635749,0.138242056,0.138242056,0.136543557,0.002382021,0.002382021,0.000793715,0.018800674,0.018800674,0.017766352,0.084576495,0.084576495,0.013659758,0.1387647,0.1387647,0.137680077,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.008860764,0.008860764,0.008860764,1.869953705,1.869953705,1,0,0,0,0,0,0,0.008860764,0.008860764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112866,0,0,0,0.001707037,0.001707037,0.001707037,0.001707037,0,0,0,0,0,0,0,0
0.435211897,1.66858E+18,-0.002558694,0.034126697,0.211171226,-0.001645337,0.006034414,1.566580331,-0.046082012,0.078353973,0.253675057,-0.00140437,0.005538498,-0.00408186,0,0,0,0,0,0,0,0,0,0,0,0,-0.001648229,0.042454801,0.217701269,-0.01551369,0.047621783,1.553238165,0,0,0,0,0,0,-0.002182007,-0.002815247,0,0,0,1.545412758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180856104,0,0,0,6.407999992,5.967000008,5.761000156,1.452000022,0,0,0,0,0,0,0,0,-0.001648229,0.217701269,-0.042454801,-0.01551369,0.047621783,1.553238165,-0.002182007,-0.002815247,1.545412758,0.180856104,6.407999992,5.967000008,5.761000156,1.452000022,-0.080430491,0.172790376,0.629709191,0,0,0,-0.002773904,0.032158161,0.210599456,-0.001490752,0.005570856,1.566840811,-0.047050955,0.06949097,0.252891624,-0.001138262,0.004740515,-0.003620995,0,1,0,0,0,0,1,0,0,0,0,0.127466796,0,0,0,0.001694022,0.001694022,0.000713384,0.020613879,0.020613879,0.019149266,0.069389983,0.069389983,0.023518478,0.147561161,0.147561161,0.145373257,0.002094442,0.002094442,0.000775848,0.020843654,0.020843654,0.019523119,0.077506905,0.077506905,0.023635749,0.148242056,0.148242056,0.146543557,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.008860764,0.008860764,0.008860764,1.869953705,1.869953705,1,0,0,0,0,0,0,0.008860764,0.008860764,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112866,0,0,0,0.001707037,0.001707037,0.001707037,0.001707037,0,0,0,0,0,0,0,0
